2026-09-04 12:03:14 | WARNING  | excel_extractor | Hoja 'PUESTOS Y COTOS' no existe en el archivo, se omite.
2026-09-04 12:03:14 | INFO     | excel_extractor | Excel 'tmpmqtdnii6.xlsx': 0 registro(s) extraído(s).
2026-09-04 12:03:14 | INFO     | organigrama_extractor | Página 1: 20 caja(s) vectorial(es) detectada(s), 14 puesto(s) extraído(s).
2026-09-04 12:03:14 | INFO     | organigrama_extractor | Organigrama 'tmpju_ekybz.pdf': 14 registro(s) extraído(s) en total.
2026-09-04 12:03:14 | INFO     | comparator | Comparación finalizada: 15 resultado(s) generado(s).
2026-09-04 12:03:14 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:04:43 | WARNING  | excel_extractor | Hoja 'PUESTOS Y COTOS' no existe en el archivo, se omite.
2026-09-04 12:04:43 | INFO     | excel_extractor | Excel 'tmp33vtv_6w.xlsx': 0 registro(s) extraído(s).
2026-09-04 12:04:44 | INFO     | organigrama_extractor | Página 1: 191 caja(s) vectorial(es) detectada(s), 115 puesto(s) extraído(s).
2026-09-04 12:04:44 | INFO     | organigrama_extractor | Organigrama 'tmp81vvm13o.pdf': 115 registro(s) extraído(s) en total.
2026-09-04 12:04:44 | INFO     | comparator | Comparación finalizada: 115 resultado(s) generado(s).
2026-09-04 12:04:44 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:05:07 | WARNING  | excel_extractor | Hoja 'PUESTOS Y COTOS' no existe en el archivo, se omite.
2026-09-04 12:05:07 | INFO     | excel_extractor | Excel 'tmppsgecd42.xlsx': 0 registro(s) extraído(s).
2026-09-04 12:05:07 | INFO     | organigrama_extractor | Página 1: 12 caja(s) vectorial(es) detectada(s), 9 puesto(s) extraído(s).
2026-09-04 12:05:07 | INFO     | organigrama_extractor | Organigrama 'tmpwhavfj9k.pdf': 9 registro(s) extraído(s) en total.
2026-09-04 12:05:07 | INFO     | comparator | Comparación finalizada: 9 resultado(s) generado(s).
2026-09-04 12:05:07 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:07:05 | WARNING  | excel_extractor | Hoja 'PUSTOS Y COSTOS' no existe en el archivo, se omite.
2026-09-04 12:07:05 | INFO     | excel_extractor | Excel 'tmpnzc47_jm.xlsx': 0 registro(s) extraído(s).
2026-09-04 12:07:05 | INFO     | organigrama_extractor | Página 1: 20 caja(s) vectorial(es) detectada(s), 14 puesto(s) extraído(s).
2026-09-04 12:07:05 | INFO     | organigrama_extractor | Organigrama 'tmpkubgw5qh.pdf': 14 registro(s) extraído(s) en total.
2026-09-04 12:07:05 | INFO     | comparator | Comparación finalizada: 15 resultado(s) generado(s).
2026-09-04 12:07:05 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:22:16 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:22:16 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:22:16 | INFO     | excel_extractor | Excel 'tmpq_xix8xw.xlsx': 16 registro(s) extraído(s).
2026-09-04 12:22:16 | INFO     | organigrama_extractor | Página 1: 20 caja(s) vectorial(es) detectada(s), 14 puesto(s) extraído(s).
2026-09-04 12:22:16 | INFO     | organigrama_extractor | Organigrama 'tmpgv85l7jt.pdf': 14 registro(s) extraído(s) en total.
2026-09-04 12:22:16 | INFO     | comparator | Comparación finalizada: 18 resultado(s) generado(s).
2026-09-04 12:22:16 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:22:48 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:22:48 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:22:48 | INFO     | excel_extractor | Excel 'tmprr3lmjvb.xlsx': 117 registro(s) extraído(s).
2026-09-04 12:22:48 | INFO     | organigrama_extractor | Página 1: 191 caja(s) vectorial(es) detectada(s), 115 puesto(s) extraído(s).
2026-09-04 12:22:48 | INFO     | organigrama_extractor | Organigrama 'tmpz9bgpca3.pdf': 115 registro(s) extraído(s) en total.
2026-09-04 12:22:48 | INFO     | comparator | Comparación finalizada: 118 resultado(s) generado(s).
2026-09-04 12:22:48 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:22:52 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:22:52 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:22:52 | INFO     | excel_extractor | Excel 'tmpw4z42vfq.xlsx': 117 registro(s) extraído(s).
2026-09-04 12:22:52 | INFO     | organigrama_extractor | Página 1: 191 caja(s) vectorial(es) detectada(s), 115 puesto(s) extraído(s).
2026-09-04 12:22:52 | INFO     | organigrama_extractor | Organigrama 'tmpv_8cuhuh.pdf': 115 registro(s) extraído(s) en total.
2026-09-04 12:22:52 | INFO     | comparator | Comparación finalizada: 118 resultado(s) generado(s).
2026-09-04 12:22:52 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:24:53 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:24:53 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:24:53 | INFO     | excel_extractor | Excel 'tmpv0aey2ae.xlsx': 238 registro(s) extraído(s).
2026-09-04 12:24:53 | INFO     | organigrama_extractor | Página 1: 319 caja(s) vectorial(es) detectada(s), 213 puesto(s) extraído(s).
2026-09-04 12:24:53 | INFO     | organigrama_extractor | Organigrama 'tmp058hmrg1.pdf': 213 registro(s) extraído(s) en total.
2026-09-04 12:24:53 | INFO     | comparator | Comparación finalizada: 243 resultado(s) generado(s).
2026-09-04 12:24:54 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:43:32 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:43:32 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:43:32 | INFO     | excel_extractor | Excel 'tmpermouslw.xlsx': 12 registro(s) extraído(s).
2026-09-04 12:43:32 | INFO     | organigrama_extractor | Página 1: 12 caja(s) vectorial(es) detectada(s), 9 puesto(s) extraído(s).
2026-09-04 12:43:32 | INFO     | organigrama_extractor | Organigrama 'tmpi5m4a28y.pdf': 9 registro(s) extraído(s) en total.
2026-09-04 12:43:32 | INFO     | comparator | Comparación finalizada: 12 resultado(s) generado(s).
2026-09-04 12:43:32 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:44:23 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:44:23 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:44:23 | INFO     | excel_extractor | Excel 'tmpadn0jje0.xlsx': 12 registro(s) extraído(s).
2026-09-04 12:44:23 | INFO     | organigrama_extractor | Página 1: 12 caja(s) vectorial(es) detectada(s), 9 puesto(s) extraído(s).
2026-09-04 12:44:23 | INFO     | organigrama_extractor | Organigrama 'tmpbyu2992i.pdf': 9 registro(s) extraído(s) en total.
2026-09-04 12:44:23 | INFO     | comparator | Comparación finalizada: 12 resultado(s) generado(s).
2026-09-04 12:44:23 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:44:29 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:44:29 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:44:29 | INFO     | excel_extractor | Excel 'tmpsh66huna.xlsx': 12 registro(s) extraído(s).
2026-09-04 12:44:29 | INFO     | organigrama_extractor | Página 1: 12 caja(s) vectorial(es) detectada(s), 9 puesto(s) extraído(s).
2026-09-04 12:44:29 | INFO     | organigrama_extractor | Organigrama 'tmpctvbvbtn.pdf': 9 registro(s) extraído(s) en total.
2026-09-04 12:44:29 | INFO     | comparator | Comparación finalizada: 12 resultado(s) generado(s).
2026-09-04 12:44:29 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:46:47 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:46:47 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:46:47 | INFO     | excel_extractor | Excel 'tmp0jeugmlu.xlsx': 96 registro(s) extraído(s).
2026-09-04 12:46:48 | INFO     | organigrama_extractor | Página 1: 120 caja(s) vectorial(es) detectada(s), 77 puesto(s) extraído(s).
2026-09-04 12:46:48 | INFO     | organigrama_extractor | Organigrama 'tmpbfliadmu.pdf': 77 registro(s) extraído(s) en total.
2026-09-04 12:46:48 | INFO     | comparator | Comparación finalizada: 97 resultado(s) generado(s).
2026-09-04 12:46:48 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 12:49:20 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 12:49:20 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 12:49:20 | INFO     | excel_extractor | Excel 'tmp6d0yl042.xlsx': 96 registro(s) extraído(s).
2026-09-04 12:49:21 | INFO     | organigrama_extractor | Página 1: 120 caja(s) vectorial(es) detectada(s), 77 puesto(s) extraído(s).
2026-09-04 12:49:21 | INFO     | organigrama_extractor | Organigrama 'tmp73zz7bg_.pdf': 77 registro(s) extraído(s) en total.
2026-09-04 12:49:21 | INFO     | comparator | Comparación finalizada: 97 resultado(s) generado(s).
2026-09-04 12:49:21 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 13:45:34 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 13:45:34 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 13:45:34 | INFO     | excel_extractor | Excel 'tmpn1r7cr4e.xlsx': 49 registro(s) extraído(s).
2026-09-04 13:45:35 | INFO     | organigrama_extractor | Página 1: 78 caja(s) vectorial(es) detectada(s), 46 puesto(s) extraído(s).
2026-09-04 13:45:35 | INFO     | organigrama_extractor | Organigrama 'tmpduo90i7_.pdf': 46 registro(s) extraído(s) en total.
2026-09-04 13:45:35 | INFO     | comparator | Comparación finalizada: 49 resultado(s) generado(s).
2026-09-04 13:45:35 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 13:46:56 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 13:46:56 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 13:46:56 | INFO     | excel_extractor | Excel 'tmp33twl8e_.xlsx': 70 registro(s) extraído(s).
2026-09-04 13:46:57 | INFO     | organigrama_extractor | Página 1: 115 caja(s) vectorial(es) detectada(s), 67 puesto(s) extraído(s).
2026-09-04 13:46:57 | INFO     | organigrama_extractor | Organigrama 'tmpffdyb8dt.pdf': 67 registro(s) extraído(s) en total.
2026-09-04 13:46:57 | INFO     | comparator | Comparación finalizada: 73 resultado(s) generado(s).
2026-09-04 13:46:57 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 13:49:28 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 13:49:28 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
2026-09-04 13:49:28 | INFO     | excel_extractor | Excel 'tmpcjz1wjik.xlsx': 48 registro(s) extraído(s).
2026-09-04 13:49:28 | INFO     | organigrama_extractor | Página 1: 62 caja(s) vectorial(es) detectada(s), 46 puesto(s) extraído(s).
2026-09-04 13:49:28 | INFO     | organigrama_extractor | Organigrama 'tmp1_pd81wr.pdf': 46 registro(s) extraído(s) en total.
2026-09-04 13:49:28 | INFO     | comparator | Comparación finalizada: 50 resultado(s) generado(s).
2026-09-04 13:49:28 | INFO     | excel_report | Reporte generado en: C:\Users\Public\Documents\Wondershare\CreatorTemp\reporte_inconsistencias.xlsx
2026-09-04 13:51:59 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': 8 rango(s) de celdas combinadas detectado(s).
2026-09-04 13:51:59 | INFO     | excel_extractor | Hoja 'PUESTOS Y COSTOS': encabezados detectados en fila 1 (puesto=J, nivel=K)
